customer_id,name,x,y,deadline_hours
C1,L1324,-6.165208,106.758861,6
C2,L1263,-6.22441,106.803634,6
C3,L0409,-6.414677,106.72829,6
C4,L0315,-6.206262,106.758588,6
C5,L0770,-6.19688,106.842641,6
C6,L0332,-6.15621,106.760177,6
C7,L1114,-6.145438,106.676047,8
C8,L1096,-6.175796,106.840643,8
C9,L0002,-6.259279,106.743197,8
C10,L1242,-6.195391,106.563746,6
C11,L0666,-6.300898,106.763965,6
C12,L1008,-6.126368,106.713178,6
C13,L0040,-6.215517,106.708706,6
C14,L0231,-6.348098,106.80209,6
C15,L0746,-6.1859,106.872104,6
C16,L0631,-6.156619,106.868836,6
C17,L0492,-6.11621,106.918567,8
C18,L0119,-6.172637,106.83926,8
C19,L0495,-6.181361,106.856168,8
C20,L1173,-6.104678,106.705715,6
C21,L0163,-6.251961,106.817814,6
C22,L0177,-6.243139,106.752041,6
C23,L1003,-6.168749,106.723768,6
C24,L0142,-6.094748,106.676908,6
C25,L1100,-6.154666,106.852797,6
C26,L0259,-6.234827,106.856924,6
C27,L0264,-6.248031,106.783555,8
C28,L0981,-6.18831,106.756153,8
C29,L1136,-6.194584,106.687426,8
C30,L0340,-6.135296,106.702717,6
C31,L0544,-6.132395,106.844745,6
C32,L1089,-6.249025,106.859251,6
C33,L1258,-6.152644,106.76409,6
C34,L0872,-6.20206,106.88446,6
C35,L0435,-6.149566,106.890128,6
C36,L0413,-6.282781,106.791288,6
C37,L0640,-6.285681,106.729277,8
C38,L0822,-6.164537,106.764726,8
C39,L1347,-6.135656,106.749865,8
C40,L0769,-6.139562,106.822441,6
C41,L0903,-6.219589,106.718426,6
C42,L1067,-6.17381,106.816353,6
C43,L0930,-6.260867,106.829615,6
C44,L0249,-6.226162,106.747494,6
C45,L0509,-6.163338,106.86264,6
C46,L0462,-6.123871,106.803839,6
C47,L0132,-6.16187,106.762694,8
C48,L0695,-6.245009,106.700481,8
C49,L0044,-6.184369,106.634411,8
C50,L1218,-6.152638,106.764084,6
C51,L1145,-6.177992,106.907312,6
C52,L0473,-6.13878,106.870643,6
C53,L1219,-6.152641,106.764084,6
C54,L0453,-6.155773,106.929168,6
C55,L0015,-6.214396,106.668278,6
C56,L0147,-6.18914,106.734256,6
C57,L1308,-6.155309,106.702764,8
C58,L0121,-6.280836,106.715137,8
C59,L0470,-6.164748,106.847813,8
C60,L0139,-6.293881,106.633517,6
C61,L0065,-6.178296,106.595571,6
C62,L0679,-6.176627,106.806616,6
C63,L1060,-6.229298,106.805935,6
C64,L0489,-6.32003,107.015165,6
C65,L0572,-6.197403,106.84206,6
C66,L1002,-6.386928,106.826445,6
C67,L0440,-6.364009,106.959529,8
C68,L0272,-6.226112,106.742023,8
C69,L1181,-6.235288,106.881773,8
C70,L1192,-6.151427,106.692284,6
C71,L0975,-6.176962,106.836195,6
C72,L0499,-6.181371,106.850228,6
C73,L0838,-6.17124,106.902631,6
C74,L0391,-6.449125,106.737956,6
C75,L0195,-6.238294,106.77961,6
C76,L0200,-6.313332,106.793709,6
C77,L0888,-6.215569,106.815728,8
C78,L0728,-6.236685,106.738929,8
C79,L0873,-6.247308,106.91177,8
C80,L0847,-6.222895,106.720265,6
C81,L0963,-6.213818,106.711062,6
C82,L0111,-6.375716,106.906115,6
C83,L1355,-6.105827,106.740211,6
C84,L1340,-6.164845,106.763281,6
C85,L0203,-6.228584,106.748413,6
C86,L0125,-6.380855,106.92466,6
C87,L0829,-6.152509,106.764039,8
C88,L0697,-6.244877,106.700515,8
C89,L0225,-6.348398,106.802058,8
C90,L0511,-6.151333,106.830406,6
C91,L0394,-6.204275,106.784611,6
C92,L1108,-6.299966,107.161823,6
C93,L0924,-6.30279,106.751502,6
C94,L0289,-6.161777,106.803897,6
C95,L0870,-6.312656,106.770028,6
