customer_id,name,x,y,deadline_hours
C1,Minimarket Sejahtera,-6.184521,106.792340,6
C2,Minimarket Makmur Jaya,-6.210334,106.801205,5
C3,Minimarket Barokah,-6.156789,106.778432,6
C4,Minimarket Abadi,-6.245102,106.815670,5
C5,Minimarket Mandiri,-6.198445,106.789123,6
C6,Minimarket Nusantara,-6.223891,106.795440,5
C7,Minimarket Berkah,-6.172056,106.808910,6
C8,Minimarket Sentosa,-6.234567,106.782345,5
C9,Minimarket Mulia Indah,-6.165432,106.812090,6
C10,Minimarket Bersatu,-6.251234,106.798760,5
C11,Minimarket Harapan,-6.189012,106.775640,6
C12,Minimarket Sumber Rezeki,-6.208765,106.803450,5
C13,Minimarket Cahaya,-6.143298,106.790120,6
