customer_id,name,x,y,deadline_hours
C1,L0565,-6.156845,106.864606,6
C2,L0503,-6.245967,107.059602,6
C3,L0459,-6.13031,106.801023,6
C4,L0287,-6.151753,106.764456,6
C5,L0211,-6.238465,106.779305,6
C6,L1127,-6.231405,106.783086,6
C7,L0180,-6.285081,106.836782,8
C8,L1223,-6.181283,106.857365,8
C9,L0870,-6.312656,106.770028,8
C10,L0066,-6.354659,106.810362,6
C11,L0062,-6.261746,106.75216,6
C12,L0193,-6.248852,106.790076,6
C13,L0449,-6.17921,106.854423,6
C14,L0478,-6.167528,106.849618,6
C15,L1042,-6.165103,106.84723,6
C16,L1248,-6.152639,106.764085,6
C17,L0055,-6.259994,106.709048,8
C18,L1161,-6.264099,106.792841,8
C19,L0409,-6.414677,106.72829,8
C20,L1347,-6.135656,106.749865,6
C21,L0865,-6.19874,106.738643,6
C22,L0453,-6.155773,106.929168,6
C23,L0925,-6.15023,106.581591,6
C24,L1220,-6.119642,106.910231,6
C25,L0571,-6.196946,106.842568,6
C26,L0014,-6.210565,106.603254,6
C27,L0328,-6.195332,106.695159,8
C28,L0871,-6.328577,106.78479,8
C29,L0699,-6.25965,106.878725,8
C30,L0320,-6.188259,106.794981,6
C31,L0442,-6.305264,107.066534,6
C32,L0692,-6.239882,106.703116,6
C33,L0191,-6.249617,106.838533,6
C34,L0783,-6.214116,106.832829,6
C35,L0200,-6.313332,106.793709,6
C36,L0738,-6.256889,106.865183,6
C37,L0707,-6.146409,106.853706,8
C38,L1252,-6.152644,106.764088,8
C39,L0543,-6.136009,106.841873,8
C40,L0089,-6.304885,106.847567,6
C41,L0947,-6.403682,106.835092,6
C42,L1108,-6.299966,107.161823,6
C43,L0257,-6.301833,106.847864,6
C44,L0780,-6.158624,106.764424,6
C45,L0163,-6.251961,106.817814,6
C46,L1141,-6.202267,106.719251,6
C47,L0602,-6.116275,106.878687,8
