customer_id,item_id,quantity
C1,I1,13
C1,I2,11
C2,I1,10
C2,I2,20
C3,I1,13
C3,I2,14
C4,I1,11
C4,I2,13
C5,I1,11
C5,I2,16
C6,I1,14
C6,I2,17
C7,I1,20
C7,I2,15
C8,I1,12
C8,I2,15
C9,I1,15
C9,I2,13
C10,I1,20
C10,I2,14
C11,I1,20
C11,I2,20
C12,I1,11
C12,I2,19
C13,I1,20
C13,I2,12
C14,I1,18
C14,I2,13
C15,I1,12
C15,I2,17
C16,I1,16
C16,I2,14
C17,I1,20
C17,I2,18
C18,I1,13
C18,I2,20
C19,I1,15
C19,I2,10
C20,I1,13
C20,I2,10
C21,I1,15
C21,I2,16
C22,I1,14
C22,I2,11
C23,I1,13
C23,I2,19
C24,I1,15
C24,I2,13
C25,I1,20
C25,I2,17
C26,I1,16
C26,I2,20
C27,I1,17
C27,I2,12
C28,I1,14
C28,I2,12
C29,I1,13
C29,I2,18
C30,I1,18
C30,I2,14
C31,I1,19
C31,I2,16
C32,I1,19
C32,I2,16
C33,I1,15
C33,I2,13
C34,I1,12
C34,I2,18
C35,I1,17
C35,I2,11
C36,I1,10
C36,I2,11
C37,I1,12
C37,I2,20
C38,I1,12
C38,I2,20
C39,I1,16
C39,I2,19
C40,I1,11
C40,I2,16
C41,I1,16
C41,I2,19
C42,I1,17
C42,I2,18
C43,I1,14
C43,I2,18
C44,I1,10
C44,I2,20
C45,I1,11
C45,I2,20
C46,I1,18
C46,I2,14
C47,I1,20
C47,I2,15
