customer_id,item_id,quantity
C1,I1,17
C1,I2,20
C1,I3,17
C1,I4,17
C2,I1,10
C2,I2,11
C2,I3,14
C2,I4,13
C3,I1,16
C3,I2,13
C3,I3,14
C3,I4,20
C4,I1,19
C4,I2,15
C4,I3,17
C4,I4,18
C5,I1,18
C5,I2,15
C5,I3,16
C5,I4,18
C6,I1,15
C6,I2,15
C6,I3,17
C6,I4,14
C7,I1,14
C7,I2,14
C7,I3,13
C7,I4,11
C8,I1,13
C8,I2,15
C8,I3,11
C8,I4,18
C9,I1,12
C9,I2,13
C9,I3,13
C9,I4,17
C10,I1,14
C10,I2,19
C10,I3,18
C10,I4,19
C11,I1,14
C11,I2,11
C11,I3,13
C11,I4,14
C12,I1,13
C12,I2,15
C12,I3,12
C12,I4,14
C13,I1,10
C13,I2,18
C13,I3,12
C13,I4,14
C14,I1,10
C14,I2,10
C14,I3,18
C14,I4,14
C15,I1,12
C15,I2,20
C15,I3,17
C15,I4,11
C16,I1,10
C16,I2,19
C16,I3,14
C16,I4,17
C17,I1,17
C17,I2,17
C17,I3,15
C17,I4,12
C18,I1,10
C18,I2,14
C18,I3,17
C18,I4,11
C19,I1,11
C19,I2,16
C19,I3,17
C19,I4,11
C20,I1,19
C20,I2,20
C20,I3,20
C20,I4,10
C21,I1,12
C21,I2,12
C21,I3,19
C21,I4,14
C22,I1,11
C22,I2,13
C22,I3,11
C22,I4,18
C23,I1,16
C23,I2,19
C23,I3,19
C23,I4,19
C24,I1,13
C24,I2,18
C24,I3,16
C24,I4,17
C25,I1,17
C25,I2,14
C25,I3,19
C25,I4,16
C26,I1,14
C26,I2,19
C26,I3,19
C26,I4,10
C27,I1,19
C27,I2,11
C27,I3,13
C27,I4,20
C28,I1,13
C28,I2,14
C28,I3,20
C28,I4,11
C29,I1,12
C29,I2,13
C29,I3,12
C29,I4,18
C30,I1,11
C30,I2,12
C30,I3,10
C30,I4,16
C31,I1,17
C31,I2,19
C31,I3,17
C31,I4,14
C32,I1,10
C32,I2,13
C32,I3,14
C32,I4,14
C33,I1,17
C33,I2,11
C33,I3,20
C33,I4,13
C34,I1,14
C34,I2,20
C34,I3,19
C34,I4,20
C35,I1,13
C35,I2,16
C35,I3,11
C35,I4,18
C36,I1,13
C36,I2,20
C36,I3,12
C36,I4,14
C37,I1,12
C37,I2,11
C37,I3,10
C37,I4,12
C38,I1,14
C38,I2,19
C38,I3,19
C38,I4,14
C39,I1,17
C39,I2,11
C39,I3,17
C39,I4,14
C40,I1,16
C40,I2,14
C40,I3,18
C40,I4,18
C41,I1,17
C41,I2,17
C41,I3,11
C41,I4,19
C42,I1,10
C42,I2,16
C42,I3,15
C42,I4,19
C43,I1,14
C43,I2,10
C43,I3,11
C43,I4,13
C44,I1,20
C44,I2,19
C44,I3,19
C44,I4,10
C45,I1,20
C45,I2,14
C45,I3,19
C45,I4,10
C46,I1,12
C46,I2,17
C46,I3,18
C46,I4,20
C47,I1,17
C47,I2,14
C47,I3,12
C47,I4,19
C48,I1,16
C48,I2,20
C48,I3,17
C48,I4,11
C49,I1,17
C49,I2,15
C49,I3,16
C49,I4,15
C50,I1,15
C50,I2,20
C50,I3,11
C50,I4,12
C51,I1,15
C51,I2,16
C51,I3,17
C51,I4,14
C52,I1,20
C52,I2,16
C52,I3,18
C52,I4,10
C53,I1,17
C53,I2,11
C53,I3,15
C53,I4,14
C54,I1,15
C54,I2,11
C54,I3,16
C54,I4,18
C55,I1,10
C55,I2,20
C55,I3,18
C55,I4,17
C56,I1,16
C56,I2,10
C56,I3,13
